Type,Network size,Connectance,Sp (plant),Sa (animal),Ratio Sa/Sp,
plant-pollinator ,997,0.02 ,114,883,7.75 ,
plant-herbivore,74,0.161,52,22,0.42 ,
plant-herbivore,78,0.131,54,22,0.41 ,
plant-herbivore,94,0.22,6,88,14.67 ,
plant-herbivore,69,0.297,5,64,12.80 ,
plant-herbivore,74,0.16,52,22,0.42 ,
plant-herbivore,27,0.6,10,17,1.70 ,
plant-herbivore,78,0.14,54,24,0.44 ,
plant-herbivore,42,0.14,10,32,3.20 ,
plant-herbivore,27,0.12,10,17,1.70 ,
plant-herbivore,77,0.06,53,24,0.45 ,
plant-herbivore,75,0.06,49,26,0.53 ,
plant-herbivore,298,0.01,204,94,0.46 ,
plant-herbivore,77,0.05,42,35,0.83 ,
plant-herbivore,137,0.02,50,87,1.74 ,
plant-herbivore,51,0.07,26,25,0.96 ,
plant-herbivore,83,0.05,53,30,0.57 ,
plant-herbivore,115,0.06,81,34,0.42 ,
plant-herbivore,26,0.12,10,16,1.60 ,
plant-herbivore,57,0.3,43,14,0.33 ,
plant-herbivore,51,0.11,38,13,0.34 ,
plant-herbivore,89,0.05,40,49,1.23 ,
plant-herbivore,56,0.04,29,27,0.93 ,
